text,label
i need advice because could you help me should i see a doctor if i have shortness of breath?,Seek Medical Help
what self care steps help with mild fever,Self-Care Advice
"please help, what over the counter medicine helps with flu symptoms right now?",Medication Question
"please help, could you help me my cough started yesterday and now i feel tired?",Symptom Inquiry
"please help, what over the counter medicine helps with flu symptoms?",Medication Question
i need advice because do i need urgent care for chest tightness and cough?,Seek Medical Help
i need advice because should i worry if i feel weak and my cough is severe since yesterday?,Seek Medical Help
i woke up with a sore throat and light fever,Symptom Inquiry
i want to know if could you help me is nasal spray okay for congestion and i am worried?,Medication Question
could you help me when is a fever serious enough to get medical help for two days?,Seek Medical Help
i need advice because is it safe to take lozenges for throat pain right now,Medication Question
"please help, can i take fever medicine before sleeping since yesterday?",Medication Question
i need advice because do i need urgent care for chest tightness and cough this morning?,Seek Medical Help
i need advice because i have mild breathing discomfort when i cough this morning?,Symptom Inquiry
i want to know if how should i rest if i feel like i have the flu and i am worried?,Self-Care Advice
can you tell me if can i use common cold tablets for sneezing and cough right now?,Medication Question
can you tell me if is it time to see a doctor for a persistent cough since yesterday?,Seek Medical Help
i want to know if should i go to urgent care for fever and chest pain for two days,Seek Medical Help
how can i sleep better when i keep coughing,Self-Care Advice
i have cold symptoms and a persistent cough this morning,Symptom Inquiry
i have a sore throat and a mild fever,Symptom Inquiry
"please help, how do i take care of a cold without going to a clinic and i am worried?",Self-Care Advice
i want to know if could you help me i have a sore throat and a mild fever for two days?,Symptom Inquiry
"please help, could you help me what can i do for sneezing and a blocked nose for two days?",Self-Care Advice
could you help me what medicine helps with congestion and fever since yesterday?,Medication Question
could you help me what medicine helps with congestion and fever?,Medication Question
i want to know if what should i drink if i have a sore throat and cough since yesterday,Self-Care Advice
what medication can help a mild cough,Medication Question
"for the last two days, my cough started yesterday and now i feel tired right now",Symptom Inquiry
can you tell me if could you help me how should i rest if i feel like i have the flu this morning?,Self-Care Advice
"for the last two days, my throat feels dry and i have a runny nose for two days?",Symptom Inquiry
i need advice because could you help me i have been sneezing and coughing for two days for two days?,Symptom Inquiry
i need advice because how can i ease throat pain and nasal congestion and i am worried,Self-Care Advice
"for the last two days, could you help me what should i do for a sore throat this morning?",Self-Care Advice
i need advice because could you help me is nasal spray okay for congestion for two days?,Medication Question
i need advice because could you help me how do i take care of a cold without going to a clinic right now?,Self-Care Advice
"for the last two days, could you help me i have mild breathing discomfort when i cough and i am worried?",Symptom Inquiry
"for the last two days, is it time to see a doctor for a persistent cough right now?",Seek Medical Help
i want to know if could you help me when is a fever serious enough to get medical help?,Seek Medical Help
"please help, how can i ease throat pain and nasal congestion since yesterday",Self-Care Advice
can you tell me if my cough started yesterday and now i feel tired right now?,Symptom Inquiry
can you tell me if how do i take care of a cold without going to a clinic right now,Self-Care Advice
what are some home remedies for cough and fever,Self-Care Advice
can you tell me if could you help me is it time to see a doctor for a persistent cough for two days?,Seek Medical Help
"for the last two days, what over the counter medicine helps with flu symptoms for two days",Medication Question
"for the last two days, could you help me what are some home remedies for cough and fever since yesterday?",Self-Care Advice
i need advice because can i take fever medicine before sleeping and i am worried,Medication Question
"please help, do i need medical help if my breathing feels harder for two days",Seek Medical Help
i want to know if can i combine cold medicine with pain reliever and i am worried,Medication Question
"for the last two days, can i take ibuprofen for fever and sore throat right now?",Medication Question
i want to know if could you help me how can i ease throat pain and nasal congestion this morning?,Self-Care Advice
i need advice because how can i relieve a mild cough at home since yesterday?,Self-Care Advice
i need advice because how can i ease throat pain and nasal congestion right now,Self-Care Advice
"please help, i have a sore throat and a mild fever for two days?",Symptom Inquiry
i need advice because what are some home remedies for cough and fever right now?,Self-Care Advice
"please help, could you help me should i see a doctor if i have shortness of breath since yesterday?",Seek Medical Help
i want to know if can i use common cold tablets for sneezing and cough right now,Medication Question
i need advice because do i need medical help if my breathing feels harder since yesterday?,Seek Medical Help
can you tell me if do i need medical help if my breathing feels harder and i am worried,Seek Medical Help
"for the last two days, how do i recover from a mild respiratory infection this morning?",Self-Care Advice
can you tell me if how should i rest if i feel like i have the flu and i am worried?,Self-Care Advice
what can i do for sneezing and a blocked nose,Self-Care Advice
i want to know if could you help me is acetaminophen okay for mild flu symptoms this morning?,Medication Question
do i need medical help if my breathing feels harder,Seek Medical Help
can you tell me if could you help me what medication can help a mild cough?,Medication Question
"for the last two days, can i use common cold tablets for sneezing and cough right now?",Medication Question
"for the last two days, should i go to urgent care for fever and chest pain and i am worried?",Seek Medical Help
"for the last two days, should i get checked if my cough is getting worse for two days?",Seek Medical Help
can you tell me if could you help me how do i take care of a cold without going to a clinic right now?,Self-Care Advice
do i need professional care if i cannot breathe well,Seek Medical Help
i want to know if should i see a doctor for my fever and cough since yesterday,Seek Medical Help
"for the last two days, should i go to urgent care for fever and chest pain for two days",Seek Medical Help
can you tell me if i have mild breathing discomfort when i cough?,Symptom Inquiry
"please help, i have been sneezing and coughing for two days and i am worried?",Symptom Inquiry
"for the last two days, my cough started yesterday and now i feel tired this morning?",Symptom Inquiry
can you tell me if i have cold symptoms and a persistent cough for two days?,Symptom Inquiry
i keep coughing at night and my nose is blocked and i am worried,Symptom Inquiry
"please help, could you help me should i go to urgent care for fever and chest pain since yesterday?",Seek Medical Help
i need advice because i feel congestion in my nose and chest this morning?,Symptom Inquiry
i want to know if could you help me what should i do for a sore throat for two days?,Self-Care Advice
"for the last two days, is acetaminophen okay for mild flu symptoms for two days",Medication Question
"for the last two days, do i need medical help if my breathing feels harder and i am worried",Seek Medical Help
"please help, should i go to urgent care for fever and chest pain?",Seek Medical Help
i need advice because i have cold symptoms and a persistent cough and i am worried?,Symptom Inquiry
i have cold symptoms and a persistent cough,Symptom Inquiry
i have a sore throat and a mild fever and i am worried,Symptom Inquiry
can you tell me if can i take ibuprofen for fever and sore throat?,Medication Question
"please help, when should i go to a clinic for a sore throat this morning?",Seek Medical Help
"please help, could you help me my throat feels dry and i have a runny nose for two days?",Symptom Inquiry
i need advice because what over the counter medicine helps with flu symptoms since yesterday?,Medication Question
i need advice because can i take fever medicine before sleeping for two days?,Medication Question
"please help, i keep coughing at night and my nose is blocked for two days?",Symptom Inquiry
"please help, my voice is hoarse and my throat hurts",Symptom Inquiry
can you tell me if could you help me do i need medical help if my breathing feels harder and i am worried?,Seek Medical Help
can you tell me if how can i sleep better when i keep coughing since yesterday?,Self-Care Advice
i need advice because what are some home remedies for cough and fever?,Self-Care Advice
can you tell me if when should i go to a clinic for a sore throat for two days?,Seek Medical Help
i want to know if do i need professional care if i cannot breathe well?,Seek Medical Help
"for the last two days, how do i take care of a cold without going to a clinic and i am worried?",Self-Care Advice
i want to know if could you help me when is a fever serious enough to get medical help and i am worried?,Seek Medical Help
can you tell me if can i use common cold tablets for sneezing and cough and i am worried?,Medication Question
i need advice because what medicine helps with congestion and fever for two days?,Medication Question
i want to know if what can i do for sneezing and a blocked nose right now,Self-Care Advice
can you tell me if can i use cough syrup for a dry cough,Medication Question
can i combine cold medicine with pain reliever for two days?,Medication Question
can you tell me if what medication can help a mild cough for two days?,Medication Question
"please help, could you help me what should i do for a sore throat since yesterday?",Self-Care Advice
i need advice because do i need professional care if i cannot breathe well this morning,Seek Medical Help
can you tell me if is acetaminophen okay for mild flu symptoms and i am worried,Medication Question
can i use over the counter medicine for a blocked nose for two days?,Medication Question
can you tell me if could you help me how do i recover from a mild respiratory infection and i am worried?,Self-Care Advice
should i get checked if my cough is getting worse,Seek Medical Help
i need advice because can i take ibuprofen for fever and sore throat?,Medication Question
what self care steps help with mild fever this morning,Self-Care Advice
can you tell me if do i need medical help if my breathing feels harder right now?,Seek Medical Help
i want to know if i woke up with a sore throat and light fever since yesterday,Symptom Inquiry
should i see a doctor if i have shortness of breath since yesterday?,Seek Medical Help
i need advice because what self care steps help with mild fever for two days,Self-Care Advice
"for the last two days, how can i relieve a mild cough at home?",Self-Care Advice
i want to know if could you help me can i combine cold medicine with pain reliever for two days?,Medication Question
"please help, should i get checked if my cough is getting worse and i am worried?",Seek Medical Help
can you tell me if i have a low fever and a lot of mucus this morning?,Symptom Inquiry
i need advice because could you help me should i see a doctor if i have shortness of breath and i am worried?,Seek Medical Help
i want to know if do i need urgent care for chest tightness and cough and i am worried?,Seek Medical Help
can you tell me if could you help me what are some home remedies for cough and fever?,Self-Care Advice
can i use common cold tablets for sneezing and cough,Medication Question
i want to know if could you help me what should i drink if i have a sore throat and cough since yesterday?,Self-Care Advice
"please help, can i take ibuprofen for fever and sore throat and i am worried",Medication Question
i need advice because when should i go to a clinic for a sore throat this morning,Seek Medical Help
what helps with congestion and runny nose?,Self-Care Advice
can you tell me if is nasal spray okay for congestion?,Medication Question
could you help me what over the counter medicine helps with flu symptoms and i am worried?,Medication Question
could you help me how can i ease throat pain and nasal congestion this morning?,Self-Care Advice
"for the last two days, when should i go to a clinic for a sore throat and i am worried",Seek Medical Help
can you tell me if when should respiratory symptoms be checked by a doctor right now?,Seek Medical Help
could you help me do i need medical help if my breathing feels harder?,Seek Medical Help
my voice is hoarse and my throat hurts this morning,Symptom Inquiry
could you help me when should i go to a clinic for a sore throat?,Seek Medical Help
"please help, should i worry if i feel weak and my cough is severe?",Seek Medical Help
"please help, i have a stuffy nose and a headache with mild fever this morning?",Symptom Inquiry
"please help, could you help me can i combine cold medicine with pain reliever right now?",Medication Question
"for the last two days, i have been sneezing and coughing for two days and i am worried",Symptom Inquiry
can i use over the counter medicine for a blocked nose,Medication Question
can you tell me if do i need professional care if i cannot breathe well this morning,Seek Medical Help
i want to know if could you help me can i take ibuprofen for fever and sore throat?,Medication Question
"please help, could you help me i have cold symptoms and a persistent cough and i am worried?",Symptom Inquiry
i want to know if how should i rest if i feel like i have the flu for two days?,Self-Care Advice
i want to know if i woke up with a sore throat and light fever?,Symptom Inquiry
can you tell me if my throat feels dry and i have a runny nose for two days?,Symptom Inquiry
i want to know if could you help me can i combine cold medicine with pain reliever this morning?,Medication Question
can you tell me if how can i relieve a mild cough at home this morning?,Self-Care Advice
i want to know if how can i relieve a mild cough at home right now?,Self-Care Advice
"for the last two days, is it time to see a doctor for a persistent cough this morning?",Seek Medical Help
i want to know if could you help me how can i relieve a mild cough at home right now?,Self-Care Advice
i need advice because is it safe to take lozenges for throat pain this morning?,Medication Question
my voice is hoarse and my throat hurts this morning?,Symptom Inquiry
i want to know if could you help me can i use cough syrup for a dry cough for two days?,Medication Question
what over the counter medicine helps with flu symptoms,Medication Question
"for the last two days, i keep coughing at night and my nose is blocked this morning?",Symptom Inquiry
i want to know if could you help me how can i relieve a mild cough at home and i am worried?,Self-Care Advice
i have a low fever and a lot of mucus for two days?,Symptom Inquiry
"please help, can i use over the counter medicine for a blocked nose since yesterday?",Medication Question
i need advice because i have a sore throat and a mild fever right now,Symptom Inquiry
i need advice because how do i recover from a mild respiratory infection and i am worried?,Self-Care Advice
"please help, could you help me i have a stuffy nose and a headache with mild fever right now?",Symptom Inquiry
"please help, could you help me should i get checked if my cough is getting worse?",Seek Medical Help
what should i drink if i have a sore throat and cough for two days?,Self-Care Advice
can you tell me if could you help me can i combine cold medicine with pain reliever for two days?,Medication Question
when should respiratory symptoms be checked by a doctor for two days?,Seek Medical Help
can you tell me if could you help me do i need urgent care for chest tightness and cough for two days?,Seek Medical Help
"for the last two days, i woke up with a sore throat and light fever this morning",Symptom Inquiry
i need advice because i have mild breathing discomfort when i cough?,Symptom Inquiry
do i need medical help if my breathing feels harder right now,Seek Medical Help
can you tell me if do i need urgent care for chest tightness and cough right now?,Seek Medical Help
"please help, i have been sneezing and coughing for two days since yesterday?",Symptom Inquiry
"for the last two days, how should i rest if i feel like i have the flu right now?",Self-Care Advice
"please help, when is a fever serious enough to get medical help right now",Seek Medical Help
i want to know if could you help me i woke up with a sore throat and light fever?,Symptom Inquiry
can you tell me if what should i do for a sore throat,Self-Care Advice
"please help, can i use over the counter medicine for a blocked nose and i am worried",Medication Question
"please help, i woke up with a sore throat and light fever and i am worried?",Symptom Inquiry
what should i do for a sore throat?,Self-Care Advice
can you tell me if when is a fever serious enough to get medical help,Seek Medical Help
can i take ibuprofen for fever and sore throat right now?,Medication Question
could you help me how do i take care of a cold without going to a clinic this morning?,Self-Care Advice
can i take fever medicine before sleeping and i am worried?,Medication Question
"for the last two days, could you help me can i use cough syrup for a dry cough right now?",Medication Question
"for the last two days, could you help me is it safe to take lozenges for throat pain since yesterday?",Medication Question
should i get checked if my cough is getting worse since yesterday?,Seek Medical Help
i want to know if i keep coughing at night and my nose is blocked for two days,Symptom Inquiry
can you tell me if what medicine helps with congestion and fever right now?,Medication Question
"please help, can i take ibuprofen for fever and sore throat since yesterday",Medication Question
when is a fever serious enough to get medical help,Seek Medical Help
can you tell me if can i use over the counter medicine for a blocked nose,Medication Question
can you tell me if what can i do for sneezing and a blocked nose since yesterday?,Self-Care Advice
"for the last two days, how can i relieve a mild cough at home for two days",Self-Care Advice
i want to know if could you help me what can i do for sneezing and a blocked nose since yesterday?,Self-Care Advice
"please help, i have a low fever and a lot of mucus and i am worried?",Symptom Inquiry
can you tell me if i have been sneezing and coughing for two days right now,Symptom Inquiry
could you help me i have been sneezing and coughing for two days?,Symptom Inquiry
could you help me i have a low fever and a lot of mucus since yesterday?,Symptom Inquiry
could you help me how can i relieve a mild cough at home this morning?,Self-Care Advice
i have a stuffy nose and a headache with mild fever right now?,Symptom Inquiry
"please help, could you help me i have a low fever and a lot of mucus this morning?",Symptom Inquiry
i need advice because is nasal spray okay for congestion?,Medication Question
"please help, should i see a doctor if i have shortness of breath for two days?",Seek Medical Help
i need advice because i have a sore throat and a mild fever since yesterday,Symptom Inquiry
i need advice because what medication can help a mild cough right now,Medication Question
what should i drink if i have a sore throat and cough,Self-Care Advice
"for the last two days, is it safe to take lozenges for throat pain this morning?",Medication Question
"for the last two days, i have a low fever and a lot of mucus for two days?",Symptom Inquiry
how can i ease throat pain and nasal congestion,Self-Care Advice
i have a low fever and a lot of mucus,Symptom Inquiry
i need advice because what medicine helps with congestion and fever and i am worried?,Medication Question
i want to know if could you help me my throat feels dry and i have a runny nose and i am worried?,Symptom Inquiry
can you tell me if i feel congestion in my nose and chest?,Symptom Inquiry
"for the last two days, could you help me can i take ibuprofen for fever and sore throat this morning?",Medication Question
"for the last two days, could you help me should i worry if i feel weak and my cough is severe this morning?",Seek Medical Help
i need advice because should i get checked if my cough is getting worse for two days?,Seek Medical Help
