text,label
i need advice because what medicine helps with congestion and fever?,Medication Question
"please help, could you help me should i go to urgent care for fever and chest pain this morning?",Seek Medical Help
i need advice because could you help me can i use over the counter medicine for a blocked nose?,Medication Question
"for the last two days, what can i do for sneezing and a blocked nose right now?",Self-Care Advice
i want to know if could you help me what are some home remedies for cough and fever since yesterday?,Self-Care Advice
"for the last two days, can i use common cold tablets for sneezing and cough right now",Medication Question
can you tell me if how can i ease throat pain and nasal congestion right now?,Self-Care Advice
i need advice because i have a low fever and a lot of mucus this morning?,Symptom Inquiry
"please help, my throat feels dry and i have a runny nose right now?",Symptom Inquiry
i need advice because how should i rest if i feel like i have the flu?,Self-Care Advice
can you tell me if what can i do for sneezing and a blocked nose this morning?,Self-Care Advice
how do i recover from a mild respiratory infection this morning?,Self-Care Advice
i have a stuffy nose and a headache with mild fever,Symptom Inquiry
do i need urgent care for chest tightness and cough and i am worried,Seek Medical Help
"please help, should i see a doctor for my fever and cough",Seek Medical Help
i want to know if could you help me can i use over the counter medicine for a blocked nose and i am worried?,Medication Question
can you tell me if do i need medical help if my breathing feels harder this morning?,Seek Medical Help
i have a stuffy nose and a headache with mild fever and i am worried,Symptom Inquiry
i want to know if can i take ibuprofen for fever and sore throat and i am worried?,Medication Question
can you tell me if how can i sleep better when i keep coughing right now?,Self-Care Advice
i want to know if i woke up with a sore throat and light fever for two days?,Symptom Inquiry
"please help, what self care steps help with mild fever?",Self-Care Advice
my cough started yesterday and now i feel tired,Symptom Inquiry
my throat feels dry and i have a runny nose,Symptom Inquiry
how do i take care of a cold without going to a clinic,Self-Care Advice
"please help, could you help me i have a sore throat and a mild fever right now?",Symptom Inquiry
can you tell me if is acetaminophen okay for mild flu symptoms?,Medication Question
can you tell me if should i see a doctor for my fever and cough this morning,Seek Medical Help
"for the last two days, what medicine helps with congestion and fever since yesterday?",Medication Question
"for the last two days, is it safe to take lozenges for throat pain since yesterday",Medication Question
i want to know if could you help me can i use cough syrup for a dry cough since yesterday?,Medication Question
i want to know if could you help me what self care steps help with mild fever for two days?,Self-Care Advice
can you tell me if should i see a doctor for my fever and cough right now,Seek Medical Help
"for the last two days, could you help me should i go to urgent care for fever and chest pain for two days?",Seek Medical Help
i have a stuffy nose and a headache with mild fever since yesterday,Symptom Inquiry
"for the last two days, i have cold symptoms and a persistent cough?",Symptom Inquiry
i want to know if what self care steps help with mild fever?,Self-Care Advice
"please help, can i use cough syrup for a dry cough for two days",Medication Question
i need advice because what helps with congestion and runny nose this morning?,Self-Care Advice
is it safe to take lozenges for throat pain right now?,Medication Question
"please help, what should i do for a sore throat?",Self-Care Advice
"please help, can i use common cold tablets for sneezing and cough",Medication Question
"for the last two days, when should respiratory symptoms be checked by a doctor?",Seek Medical Help
what are some home remedies for cough and fever right now?,Self-Care Advice
how do i recover from a mild respiratory infection,Self-Care Advice
i want to know if how can i relieve a mild cough at home?,Self-Care Advice
"for the last two days, my voice is hoarse and my throat hurts for two days",Symptom Inquiry
i need advice because could you help me i keep coughing at night and my nose is blocked?,Symptom Inquiry
"for the last two days, could you help me is it safe to take lozenges for throat pain right now?",Medication Question
i need advice because is nasal spray okay for congestion right now?,Medication Question
can you tell me if what medicine helps with congestion and fever,Medication Question
i want to know if i have a stuffy nose and a headache with mild fever right now?,Symptom Inquiry
when should i go to a clinic for a sore throat,Seek Medical Help
how can i sleep better when i keep coughing and i am worried,Self-Care Advice
i need advice because could you help me when is a fever serious enough to get medical help right now?,Seek Medical Help
can you tell me if could you help me how should i rest if i feel like i have the flu?,Self-Care Advice
how do i take care of a cold without going to a clinic right now?,Self-Care Advice
can you tell me if could you help me how can i ease throat pain and nasal congestion for two days?,Self-Care Advice
i need advice because could you help me i woke up with a sore throat and light fever and i am worried?,Symptom Inquiry
i need advice because how can i relieve a mild cough at home for two days?,Self-Care Advice
what should i do for a sore throat,Self-Care Advice
could you help me do i need professional care if i cannot breathe well?,Seek Medical Help
i need advice because should i worry if i feel weak and my cough is severe this morning,Seek Medical Help
i want to know if could you help me what are some home remedies for cough and fever this morning?,Self-Care Advice
"for the last two days, could you help me should i get checked if my cough is getting worse?",Seek Medical Help
i keep coughing at night and my nose is blocked right now?,Symptom Inquiry
can i take fever medicine before sleeping for two days?,Medication Question
can you tell me if can i use cough syrup for a dry cough for two days,Medication Question
i need advice because could you help me can i use common cold tablets for sneezing and cough and i am worried?,Medication Question
"please help, what should i drink if i have a sore throat and cough since yesterday",Self-Care Advice
"please help, could you help me how can i sleep better when i keep coughing this morning?",Self-Care Advice
can you tell me if do i need professional care if i cannot breathe well,Seek Medical Help
i want to know if my voice is hoarse and my throat hurts since yesterday?,Symptom Inquiry
"for the last two days, can i take ibuprofen for fever and sore throat since yesterday",Medication Question
i want to know if my cough started yesterday and now i feel tired,Symptom Inquiry
i want to know if could you help me what medication can help a mild cough since yesterday?,Medication Question
"for the last two days, can i take fever medicine before sleeping right now?",Medication Question
i want to know if i feel congestion in my nose and chest since yesterday?,Symptom Inquiry
"for the last two days, can i use cough syrup for a dry cough right now?",Medication Question
i need advice because could you help me i have been sneezing and coughing for two days right now?,Symptom Inquiry
i woke up with a sore throat and light fever?,Symptom Inquiry
can i take fever medicine before sleeping,Medication Question
"please help, could you help me what over the counter medicine helps with flu symptoms for two days?",Medication Question
"for the last two days, i have been sneezing and coughing for two days this morning",Symptom Inquiry
i need advice because could you help me when is a fever serious enough to get medical help?,Seek Medical Help
i need advice because could you help me i have a low fever and a lot of mucus since yesterday?,Symptom Inquiry
"for the last two days, can i take ibuprofen for fever and sore throat this morning?",Medication Question
"for the last two days, can i combine cold medicine with pain reliever since yesterday?",Medication Question
i want to know if what medicine helps with congestion and fever right now?,Medication Question
"please help, is acetaminophen okay for mild flu symptoms for two days",Medication Question
i have cold symptoms and a persistent cough right now,Symptom Inquiry
i need advice because my voice is hoarse and my throat hurts this morning?,Symptom Inquiry
i need advice because i keep coughing at night and my nose is blocked since yesterday?,Symptom Inquiry
"please help, what over the counter medicine helps with flu symptoms this morning?",Medication Question
i want to know if could you help me how can i ease throat pain and nasal congestion since yesterday?,Self-Care Advice
"please help, what should i do for a sore throat this morning?",Self-Care Advice
can you tell me if could you help me when should respiratory symptoms be checked by a doctor this morning?,Seek Medical Help
i want to know if could you help me what can i do for sneezing and a blocked nose?,Self-Care Advice
"for the last two days, i feel congestion in my nose and chest for two days",Symptom Inquiry
"please help, should i go to urgent care for fever and chest pain for two days?",Seek Medical Help
i need advice because can i combine cold medicine with pain reliever this morning?,Medication Question
how should i rest if i feel like i have the flu,Self-Care Advice
"for the last two days, when should respiratory symptoms be checked by a doctor this morning?",Seek Medical Help
"for the last two days, i have mild breathing discomfort when i cough for two days?",Symptom Inquiry
could you help me what can i do for sneezing and a blocked nose right now?,Self-Care Advice
i need advice because i feel congestion in my nose and chest for two days,Symptom Inquiry
i want to know if how can i ease throat pain and nasal congestion right now,Self-Care Advice
"please help, i have a sore throat and a mild fever this morning?",Symptom Inquiry
is nasal spray okay for congestion and i am worried?,Medication Question
"for the last two days, i have been sneezing and coughing for two days for two days?",Symptom Inquiry
should i see a doctor for my fever and cough,Seek Medical Help
can you tell me if how do i take care of a cold without going to a clinic this morning?,Self-Care Advice
i need advice because can i take fever medicine before sleeping for two days,Medication Question
"please help, could you help me how can i sleep better when i keep coughing right now?",Self-Care Advice
i want to know if could you help me can i use common cold tablets for sneezing and cough?,Medication Question
can you tell me if what medication can help a mild cough this morning?,Medication Question
can you tell me if how can i sleep better when i keep coughing for two days,Self-Care Advice
i need advice because my voice is hoarse and my throat hurts,Symptom Inquiry
i need advice because should i see a doctor for my fever and cough?,Seek Medical Help
"for the last two days, when should respiratory symptoms be checked by a doctor and i am worried",Seek Medical Help
my cough started yesterday and now i feel tired right now,Symptom Inquiry
should i see a doctor for my fever and cough and i am worried?,Seek Medical Help
i want to know if could you help me what should i drink if i have a sore throat and cough for two days?,Self-Care Advice
i need advice because is acetaminophen okay for mild flu symptoms for two days?,Medication Question
i want to know if i feel congestion in my nose and chest right now,Symptom Inquiry
can you tell me if could you help me can i use cough syrup for a dry cough?,Medication Question
should i get checked if my cough is getting worse this morning?,Seek Medical Help
can you tell me if what helps with congestion and runny nose right now?,Self-Care Advice
i need advice because should i get checked if my cough is getting worse and i am worried,Seek Medical Help
i need advice because i woke up with a sore throat and light fever right now?,Symptom Inquiry
i want to know if could you help me can i take fever medicine before sleeping since yesterday?,Medication Question
i want to know if could you help me i have a stuffy nose and a headache with mild fever right now?,Symptom Inquiry
"for the last two days, my throat feels dry and i have a runny nose and i am worried?",Symptom Inquiry
i need advice because could you help me i woke up with a sore throat and light fever?,Symptom Inquiry
what over the counter medicine helps with flu symptoms for two days,Medication Question
i want to know if should i worry if i feel weak and my cough is severe for two days?,Seek Medical Help
"for the last two days, what are some home remedies for cough and fever for two days",Self-Care Advice
can you tell me if what helps with congestion and runny nose this morning?,Self-Care Advice
"for the last two days, i woke up with a sore throat and light fever and i am worried?",Symptom Inquiry
is acetaminophen okay for mild flu symptoms since yesterday,Medication Question
i need advice because when is a fever serious enough to get medical help this morning?,Seek Medical Help
"for the last two days, what self care steps help with mild fever right now?",Self-Care Advice
i want to know if can i take fever medicine before sleeping right now,Medication Question
my cough started yesterday and now i feel tired since yesterday?,Symptom Inquiry
"for the last two days, should i see a doctor if i have shortness of breath and i am worried?",Seek Medical Help
i need advice because what medication can help a mild cough for two days?,Medication Question
"please help, what should i drink if i have a sore throat and cough right now?",Self-Care Advice
"for the last two days, what should i drink if i have a sore throat and cough this morning",Self-Care Advice
"please help, can i use over the counter medicine for a blocked nose this morning?",Medication Question
"please help, what medicine helps with congestion and fever for two days",Medication Question
should i go to urgent care for fever and chest pain this morning?,Seek Medical Help
i need advice because what should i drink if i have a sore throat and cough since yesterday,Self-Care Advice
"please help, should i worry if i feel weak and my cough is severe for two days?",Seek Medical Help
how can i relieve a mild cough at home,Self-Care Advice
i have mild breathing discomfort when i cough and i am worried,Symptom Inquiry
should i go to urgent care for fever and chest pain,Seek Medical Help
do i need urgent care for chest tightness and cough since yesterday,Seek Medical Help
i want to know if my cough started yesterday and now i feel tired and i am worried?,Symptom Inquiry
i want to know if what over the counter medicine helps with flu symptoms since yesterday?,Medication Question
can you tell me if could you help me should i worry if i feel weak and my cough is severe this morning?,Seek Medical Help
how should i rest if i feel like i have the flu since yesterday?,Self-Care Advice
i need advice because my throat feels dry and i have a runny nose and i am worried?,Symptom Inquiry
"please help, i feel congestion in my nose and chest for two days?",Symptom Inquiry
i need advice because when should respiratory symptoms be checked by a doctor and i am worried,Seek Medical Help
"for the last two days, my voice is hoarse and my throat hurts since yesterday",Symptom Inquiry
is acetaminophen okay for mild flu symptoms,Medication Question
i have a low fever and a lot of mucus and i am worried,Symptom Inquiry
i want to know if should i worry if i feel weak and my cough is severe since yesterday?,Seek Medical Help
can you tell me if should i see a doctor if i have shortness of breath?,Seek Medical Help
i need advice because how do i recover from a mild respiratory infection right now?,Self-Care Advice
i have a sore throat and a mild fever since yesterday?,Symptom Inquiry
i want to know if do i need professional care if i cannot breathe well right now,Seek Medical Help
i need advice because could you help me do i need professional care if i cannot breathe well since yesterday?,Seek Medical Help
i need advice because i have mild breathing discomfort when i cough right now?,Symptom Inquiry
i want to know if i have cold symptoms and a persistent cough for two days?,Symptom Inquiry
"please help, is nasal spray okay for congestion since yesterday",Medication Question
"for the last two days, i have a sore throat and a mild fever?",Symptom Inquiry
i feel congestion in my nose and chest and i am worried,Symptom Inquiry
i want to know if could you help me what should i drink if i have a sore throat and cough right now?,Self-Care Advice
should i worry if i feel weak and my cough is severe,Seek Medical Help
can i combine cold medicine with pain reliever,Medication Question
"please help, i feel congestion in my nose and chest this morning",Symptom Inquiry
i want to know if do i need urgent care for chest tightness and cough right now,Seek Medical Help
"please help, what self care steps help with mild fever for two days?",Self-Care Advice
"please help, my cough started yesterday and now i feel tired",Symptom Inquiry
i want to know if could you help me when should respiratory symptoms be checked by a doctor for two days?,Seek Medical Help
"please help, could you help me is it time to see a doctor for a persistent cough since yesterday?",Seek Medical Help
can you tell me if what medication can help a mild cough for two days,Medication Question
"for the last two days, can i take fever medicine before sleeping?",Medication Question
"please help, i have been sneezing and coughing for two days and i am worried",Symptom Inquiry
should i worry if i feel weak and my cough is severe this morning?,Seek Medical Help
i want to know if could you help me can i take fever medicine before sleeping?,Medication Question
i need advice because could you help me should i see a doctor for my fever and cough?,Seek Medical Help
"please help, should i see a doctor if i have shortness of breath for two days",Seek Medical Help
"for the last two days, i woke up with a sore throat and light fever for two days?",Symptom Inquiry
could you help me how can i sleep better when i keep coughing for two days?,Self-Care Advice
"for the last two days, i have been sneezing and coughing for two days this morning?",Symptom Inquiry
"please help, how do i recover from a mild respiratory infection for two days",Self-Care Advice
"please help, can i take fever medicine before sleeping and i am worried?",Medication Question
can you tell me if how can i relieve a mild cough at home this morning,Self-Care Advice
can you tell me if could you help me do i need professional care if i cannot breathe well and i am worried?,Seek Medical Help
i want to know if what helps with congestion and runny nose for two days,Self-Care Advice
i need advice because should i see a doctor for my fever and cough for two days?,Seek Medical Help
i want to know if what should i do for a sore throat since yesterday?,Self-Care Advice
"please help, when should i go to a clinic for a sore throat and i am worried?",Seek Medical Help
i have mild breathing discomfort when i cough,Symptom Inquiry
"for the last two days, could you help me how should i rest if i feel like i have the flu since yesterday?",Self-Care Advice
i have a sore throat and a mild fever right now,Symptom Inquiry
when should i go to a clinic for a sore throat right now,Seek Medical Help
could you help me i keep coughing at night and my nose is blocked this morning?,Symptom Inquiry
"for the last two days, i have cold symptoms and a persistent cough this morning",Symptom Inquiry
"for the last two days, when should i go to a clinic for a sore throat?",Seek Medical Help
"for the last two days, could you help me what medicine helps with congestion and fever right now?",Medication Question
"please help, is nasal spray okay for congestion for two days?",Medication Question
"for the last two days, should i go to urgent care for fever and chest pain and i am worried",Seek Medical Help
i want to know if could you help me do i need urgent care for chest tightness and cough since yesterday?,Seek Medical Help
i want to know if what helps with congestion and runny nose this morning,Self-Care Advice
could you help me i feel congestion in my nose and chest?,Symptom Inquiry
could you help me i feel congestion in my nose and chest this morning?,Symptom Inquiry
i want to know if could you help me when should i go to a clinic for a sore throat and i am worried?,Seek Medical Help
i want to know if when should i go to a clinic for a sore throat right now,Seek Medical Help
"please help, should i see a doctor for my fever and cough this morning?",Seek Medical Help
i want to know if do i need professional care if i cannot breathe well this morning,Seek Medical Help
"for the last two days, can i use cough syrup for a dry cough this morning",Medication Question
"please help, what helps with congestion and runny nose since yesterday?",Self-Care Advice
